Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,Buzzer_12x9.5RM7.6,1,Buzzer,
"C1, C12, C15, C16, C17, C18, C2, C3, C4, C6",0603,10,100nF,
"C10, C13, C8, R11, R12",0805,5,22uF,
"C11, C5, C9",0805,3,10uF,
C14,0603,1,1uF,
C19,0805,1,4.7uF,
C7,0603,1,2.2uF,
D1,D_SOD-123,1,B5819W_C8598,
D2,0603,1,GREEN LED,
D3,0603,1,RED LED,
"D4, D5",D_SOD-123,2,D_Schottky,
D6,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,
J3,JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical,1,A,
J5,Tag-Connect_TC2030-IDC-NL_2x03_P1.27mm_Vertical,1,JTAG_TC2030,
L1,L_6.3x6.3_H3,1,CSME0418D-4R7M-LRH,
P1,JST_SHL_SM08B-SHLS-TF_1x08-1MP_P1.00mm_Horizontal,1,SM08B-SRSS-TB(LF)(SN),C160407
Q1,SOT-23,1,MMBT2222A,
"R1, R2, R3, R4, R7, R8",0603,6,10k,
"R10, R9",1210,2,47uF,
R13,0603,1,1k,
"R5, R6",0603,2,5.1k,
SW1,SW_Push_SPST_NO_Alps_SKRK,1,SW_Push,
U2,TSOT-23-6,1,AP63205WU,
U4,SOT-23-6,1,USBLC6-2SC6,
U5,SOT-23-5,1,XC6220B331MR,
U6,LQFP-64_10x10mm_P0.5mm,1,STM32F722RETx,
U7,LGA-14_3x2.5mm_P0.5mm_LayoutBorder3x4y,1,BMI270,
U8,Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering,1,SPL06-001,
U9,WSON-8-1EP_8x6mm_P1.27mm_EP3.4x4.3mm,1,W25N01G,
Y1,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,1,8MHz,
